iter	Passed	Remaining
602	1346	886
603	1348	883
604	1350	881
605	1352	879
606	1354	876
607	1356	874
608	1358	871
609	1359	869
610	1361	866
611	1363	864
612	1366	862
613	1368	860
614	1370	857
615	1371	855
616	1373	852
617	1375	850
618	1377	847
619	1379	845
620	1381	843
621	1383	840
622	1385	838
623	1387	835
624	1389	833
625	1390	830
626	1392	828
627	1395	826
628	1397	824
629	1399	821
630	1401	819
631	1403	816
632	1404	814
633	1406	812
634	1408	809
635	1410	807
636	1412	804
637	1414	802
638	1416	799
639	1417	797
640	1419	795
641	1421	792
642	1423	790
643	1425	788
644	1427	785
645	1429	783
646	1431	780
647	1433	778
648	1434	776
649	1436	773
650	1439	771
651	1441	769
652	1443	766
653	1444	764
654	1446	761
655	1448	759
656	1450	757
657	1452	754
658	1454	752
659	1456	750
660	1458	747
661	1460	745
662	1462	743
663	1463	740
664	1465	738
665	1467	736
666	1469	733
667	1471	731
668	1473	729
669	1475	726
670	1477	724
671	1479	721
672	1480	719
673	1483	717
674	1485	715
675	1487	712
676	1489	710
677	1491	708
678	1492	705
679	1494	703
680	1496	701
681	1500	699
682	1502	697
683	1504	695
684	1506	692
685	1508	690
686	1510	688
687	1512	685
688	1514	683
689	1516	681
690	1518	679
691	1520	676
692	1522	674
693	1524	672
694	1526	669
695	1528	667
696	1530	665
697	1532	663
698	1534	660
699	1535	658
700	1537	655
701	1539	653
702	1541	651
703	1543	649
704	1545	646
705	1547	644
706	1549	642
707	1551	639
708	1553	637
709	1554	635
710	1556	632
711	1559	630
712	1561	628
713	1563	626
714	1565	623
715	1566	621
716	1568	619
717	1570	616
718	1573	614
719	1575	612
720	1576	610
721	1578	607
722	1580	605
723	1582	603
724	1584	600
725	1586	598
726	1588	596
727	1590	594
728	1592	591
729	1594	589
730	1595	587
731	1597	584
732	1599	582
733	1601	580
734	1604	578
735	1605	576
736	1607	573
737	1609	571
738	1611	569
739	1613	566
740	1615	564
741	1617	562
742	1619	560
743	1621	557
744	1623	555
745	1624	553
746	1626	550
747	1628	548
748	1630	546
749	1633	544
750	1635	542
751	1637	540
752	1639	537
753	1641	535
754	1642	533
755	1644	530
756	1647	528
757	1649	526
758	1651	524
759	1653	522
760	1655	519
761	1656	517
762	1658	515
763	1660	512
764	1662	510
765	1664	508
766	1666	506
767	1668	503
768	1669	501
769	1671	499
770	1673	497
771	1675	494
772	1678	492
773	1680	490
774	1682	488
775	1683	486
776	1685	483
777	1687	481
778	1689	479
779	1691	477
780	1694	475
781	1695	472
782	1697	470
783	1699	468
784	1701	465
785	1703	463
786	1705	461
787	1707	459
788	1709	457
789	1711	454
790	1712	452
791	1714	450
792	1716	448
793	1718	445
794	1720	443
795	1722	441
796	1724	439
797	1726	436
